,MAPE,MAE,RMSE,Parameters
26,1.0565313029919159,2.5703520947497123,3.981329163401276,"{'changepoint_prior_scale': 0.05, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
27,2.672895478031,6.490305265807255,9.558901463079527,"{'changepoint_prior_scale': 0.05, 'fourier_order': 5, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
28,1.062538985536469,2.588557847338085,4.0322554180425705,"{'changepoint_prior_scale': 0.05, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
29,2.6985458856173987,6.550107611115854,9.625410758507572,"{'changepoint_prior_scale': 0.05, 'fourier_order': 5, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
30,1.0096256927660021,2.4643016917473517,3.8644844839244232,"{'changepoint_prior_scale': 0.1, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
31,1.9696939367314443,4.773581210175845,7.588065383614669,"{'changepoint_prior_scale': 0.1, 'fourier_order': 1, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
32,0.9799962696195619,2.385007291253981,3.7115065722153067,"{'changepoint_prior_scale': 0.1, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
33,1.970881737145076,4.776481463824691,7.592722778235375,"{'changepoint_prior_scale': 0.1, 'fourier_order': 1, 'n_changepoints': 150, 'seasonality_mode': 'additive'}"
34,0.9460147762485412,2.3039550326176137,3.557314585622537,"{'changepoint_prior_scale': 0.1, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'multiplicative'}"
35,1.9586772164753703,4.747629888872741,7.543262049755229,"{'changepoint_prior_scale': 0.1, 'fourier_order': 1, 'n_changepoints': 200, 'seasonality_mode': 'additive'}"
36,1.0212636909567836,2.4944892747252356,3.891120585248584,"{'changepoint_prior_scale': 0.1, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'multiplicative'}"
37,1.965539133516515,4.763722298015378,7.554013696518539,"{'changepoint_prior_scale': 0.1, 'fourier_order': 2, 'n_changepoints': 100, 'seasonality_mode': 'additive'}"
38,0.9835542583735125,2.400978912530878,3.7567421927207563,"{'changepoint_prior_scale': 0.1, 'fourier_order': 2, 'n_changepoints': 150, 'seasonality_mode': 'multiplicative'}"
